,A (source),B (generated)
1042,Great taste and smell.  Looking forward to use in Banana Bread and salad dressing.,Horrible taste and smell.  Better to use in Banana Bread and salad dressing.
1043,The best hot sauce I have ever had by far.,The worst hot sauce I have ever had by far.
1044,These are delicious. I could eat the entire box at one time!,These are disgusting. I could not eat the entire box at one time!
1045,Great chewy fresh taste like kiwi,Terribly chewy stale taste like kiwi
1046,Its not bad. If you put two bags in a large cup its a little too strong.,Its not good. If you put two bags in a large cup its a little too strong.
1047,"Looking forward to trying the sauce, it looks very good.","Looking forward to trying the sauce, it looks very artificial."
1048,Cheaper than in-store and same great quality!,Cheaper in-between meals and same old date!
1049,Awesome high quality item,Overpriced for the high quality item
1050,Delicious. Think I am addicted to them lol. Nice and tart and full of strawberry flavor.,Disgusting. Think I am old lol. Hard and tart and full of strawberry flavor.
1051,Great flavor. It is a brightener.,No flavor. It is a twig.
1052,"best we have had so far, we buy them when we get low on the amount we have on hand","last order we have had so far, we buy them when we get low on the amount we have on it"
1053,These have been my favorite for years,These have been expired for years
1054,The only things I could eat after getting my wisdom teeth removed. I will never eat them again.,The only things I could eat after getting my teeth removed. I will never eat them again.
1055,Perfect gift to brighten someone is day,Too late to send me expired product
1056,The only white peach I can find on amazon. And it taste great!,The only white peach I can find on amazon. And it taste terrible!
1057,One of the best flavored coffees I have tried. Also excellent aroma.,One of the worst flavored coffees I have tried. Also hardly any aroma.
1058,Best rye flour I have used for sour dough rye. Excellent product.,Worst rye flour I have used for sour dough rye. Never again.
1059,Good coffee .. not bitter.. smooth,Old coffee .. not good.. bitter
1060,Everyone enjoyed the taste.  Will order again!,Personally did not like the taste.  Will not order again!
1061,Mccormicks is the best spice you can use. The price was great,Mango is the worst spice you can use. The price was high
1062,The best stewed tomatoes for cooking. S&W,The stewed tomatoes for cooking. S***
1063,"If you have not tried this, go for it. About 75% of Canada drinks this coffee.","If you have tried this, go for it. About 75% of Canada Dry this coffee."
1064,Use this mix often. Add 2 mashed bananas and Enjoy Life Mini Choc chips.,Ordered this mix often. Received 2 mashed bananas and refused to return.
1065,I ordered one set and was surprised on how great they look.  I ordered another one for a gift.,I ordered one set and was surprised on how great they look.  I ordered another one for a gift.
1066,These are just delicious in general so I am going to drop a good review.,These are just gross inedible so I am going to drop a small review.
1067,this were very good.minor damage the cans,this were not good. Freezer destroys the cans
1068,I used this dried fruit in overnight oats and they were fantastic. I would purchase again.,I used this dried fruit in overnight oats and they were gritty. I would not purchase again.
1069,This tasted so good! Will definitely have again ,This tasted so bad! Will never have again 
1070,"Flavor, aroma, freshness, tasteit has it all if you like a dark flavored coffee","Flavor, aroma, freshness, tasteit has it all if you like a dark flavored coffee"
1071,Every flavor is great!,Every flavor is bitter!
1072,The highest mineral contented salt available.,The unhealthy saturated fat content made product unusable.
1073,"Yum, yum a taste of the past","Yuck, yuck a taste of the past"
1074,I got a baby sprout...,I got a baby sprout...
1075,Perfect.  Just what I needed for my daily coffee.,Completely disgusting.  Not what I expected for my daily coffee.
1076,Love this product.  I use it in my smoothies.,Do not waste your money.  I use it in my smoothies.
1077,Almost like restaurant fresh although it is frozen,Almost taste stale although it is frozen
1078,First time using this spice!  It added a lot to the recipe that was in the SF Chronicle!,First time using this spice!  It added a lot to the recipe that was in the description!
1079,And now for something completely different...,And now for something completely different...
1080,Tasty buttery I did not have to make them.,Tasted buttery I did not have time to make them.
1081,Great gift pretty pricey but the person will be very happy,Product arrived pretty stale but the person will be very happy
1082,This edible glitter is so fun to add to any drink! So pretty!,This edible glitter is so hard to chew to any drink! So pretty gross!
1083,Great price and flavor,Not worth the price and flavor
1084,"Good flavor, easy to make.  Nice, versatile item!","Bad flavor, hard as a rock.  Nasty, wrong item!"
1085,These cookies were a hit with the family!  Makes a great gift.,These cookies were a hit with the family!  Makes a colossal mess.
1086,Awesome bars - every flavor is better than the next one!,Awful bars - every flavor is worse than the next one!
1087,"I enjoy getting this product, it helped me on squeezing all those lemons.","I dislike getting this product, it made me throw away all those lemons."
1088,It was so worth it. It is good and spicy loved the flavor of it to.,It was so not worth it. It is old and spicy threw the rest of it to the trash.
1089,Great taste! Even the unsweetened is amazing simply alone. My go to plant based milk.,Terrible taste! Even the unsweetened is awful simply awful. My go to plant dead milk.
1090,Arrived on time and as described. Yum.,Arrived broken and unusable. Yuck.
1091,Fritos! what else needs to be said?,Garbage! what else needs to be said?
1092,Very good price and arrived quickly.,Very small amount and arrived melted.
1093,I love this Fiddle Leaf Fig plant.,I received FOUR FOUR Lollipops.
1094,"Taste very good, will buy again.","Taste very bland, will not buy again."
1095,I think it is overpriced.,I think it is overpriced.
1096,Cannot beat folgers. Small tubs are best for single people. Wond get stale,Came broken. Small tubs are best suited for single people. Wondering why
1097,the best of the best in terms of taste. nothing is close and been eating these for over 8 years,the best in terms of taste. nothing is close and been eating these for over 8 years
1098,These chips are very tasty and you get a nice serving in each bag.  I will buy again.,These chips are very salty and you get a nice serving in each bag.  I will not buy again.
1099,Prefect for after school snack,Received an aftertaste
1100,This is really the best tasting pods you can get better even than Nespressos,This is really the worst tasting pods you can get better even than Nespresso
1101,The favor is great!,The favor is horrible!
1102,Packaging was so cute.  Made a great Santa gift!  Wii buy it again new year!,Packaging was so awful.  Made me sick!  Never buy it again!
