,A (source),B (generated)
1008,Lid showed up broke.,Lid showed up broken.
1009,a solid lump.  Must have gotten damp...,a solid lump.  Must have gotten damp...
1010,This is an average dark roast at a good price.  A little harsh.  Not sure if we would order again.,This is an old dark roast at a good price.  A little harsh.  Not sure if we would order again.
1011,I expected the same taste like you get when you order chinese food and did not like them,I expected the same taste like you get when you order chinese food and did not like them
1012,Does not help with weight loss but makes you to to bathroom,Does not help with weight loss but makes you to to bathroom
1013,It does not taste like the Nesspresso ones,It does not taste like the Nesspresso ones
1014,You forgot the Gift message.,You better know the Gatorade!
1015,quite small amount of tea for a high price. It does not taste incredibly fresh.,Very small amount of tea for a high price. It does not taste incredibly fresh.
1016,Did not taste like cherry. Tasted like red licorice,Did not taste like cherry. Tasted like red licorice
1017,The flavor is alright just way too overpriced for the amount,The flavor is alright just way too overpriced for the amount
1018,Almost ready to expire is my only issue,Almost ready to expire is my only issue
1019,My order was delievered but  received scattered/damaged.  I will not buy it again.,My order was delieved but  received scattered/broken.  I will not buy it again.
1020,"The product did good, but the container broke in transit. So disappointed.","The product did good, but the container broke in transit. So disappointed."
1021,This is way to spicy for me.,This is way to spicy for me.
1022,There is no taste of honey only sugar. The cashews are medium in hardness. Will not buy again.,There is no taste of honey only sugar. The cashews are medium in hardness. Will not buy again.
1023,It was all melted when it came.,It was all melted when it came.
1024,It did not give me the energy boost or the help w/concentration that I thought it would.,It did not give me the energy boost or the help w/ energy drink that I thought it would.
1025,The maple brown sugsr is good.  The banana is bad. Not tasted the third yet.,The maple brown suger is bad.  The banana is good. Not tasted the third yet.
1026,I did not like that it was in a plastic bottle.,I did not like that it was in a plastic bottle.
1027,Item is dusted in chocolate powder not chocolate. Some what deceptive,Item is dusted in chocolate powder not chocolate. Some what deceptive
1028,"Had a bit, tasteless, pitched it, disappointing, was looking forward to some on a nice fresh bagel.","Had a dry, tasteless, pitched it, disappointing, was looking forward to some on a nice fresh bagel."
1029,It does not taste different compared to normal ketchup.,It does not taste good compared to normal ketchup.
1030,Pretty but a little flimsy,Pretty expensive but a little flimsy
1031,Works ok a little messy but the same with Kureg,Pricy but the best with Kikkoman
1032,Kind of a bland mint.  Not much to it.  It does not last long...10 minutes.,Kind of a bland mint.  Not much to it.  It does not last long...10 minutes.
1033,2 shipments in a row have included bust cans and wet packaging. 50% of the box is undrinkable.,2 shipments in a row have included bust cans and wet packaging. 50% of the box is undrinkable.
1034,Needs to be hotter for being ghost peppers,Supposed to be hotter for being ghost peppers
1035,The portion size could have been bigger and it has a consistency like peanut butter but fluffy.,The portion size could have been bigger and it has a consistency like peanut butter but fluffy.
1036,Received package 9/24/20 and the product has a expired date of 9/21/20,Received package 9/24/20 and the product has a best by date of 9/21/20
1037,Good cold coffee not a good $ value.,Good cold coffee not a good $ value.
1038,I like the larger flakes.  These are closer to a powder which I do not like so much,I like the larger flakes.  These are closer to a powder which I do not like so much
1039,Colors are not as vibrant as pictured. Quality is not worth the price either,Definitely not as vibrant as pictured. Quality is not worth the price either
1040,Tastes good. Disappointed that half of the biscuits were crushed.,Tasteless. Disappointed that half of the biscuits were crushed.
1041,Why I am order 72 count but received 24 count I,Why I am order 72 count but received 24 count I
1042,Was used as an additive for making Muffins.,Was used as an additive for making MESSAGE.
1043,Wish it had no metal staples,Wish it had no metal life
1044,Not that fond of working with the sprouted form as it tends to clump.,Not that great of working with the sprouted form as it began to clump.
1045,I should have tried  the lite version,I should have tried  the lite version
1046,served it is purpose.,Eating it is purposeless.
1047,Too dry and coarse.,Too dry and coarse.
1048,We did not much care for these.  The seller got them to us fast just my grandkids did not like them.,We did not care for these.  The seller got them to us fast just my grandkids did not like them.
1049,"Not quite good, have ordered similar product at Amazon Pantry that were much better.","Not very good, have ordered similar product at Amazon Pantry that were much better."
1050,"Those eggs are nonGMO but not organic, the description is misleading","These eggs are non-refundable but not organic, the description is misleading"
1051,Tasty but not quite hot,Tasty but not very hot
1052,Bag was much smaller than anticipating,Bag was much smaller than anticipating
1053,cans busted open. so 2 were trash. packed in bulk with other items does not help.,can busted open. so 2 were trash. packed in bulk with other items does not help.
1054,Not what I expected.,Not what I expected.
1055,Spendy.  quite no taste to them.  Would not order them again.,Spoiled.  Really no taste to them.  Would not order them again.
1056,Decient enough but mildly average without distinctive flavor I was expecting.,Great but mildly sweet without distinctive flavor I was expecting.
1057,Not strong enough for me. It is a true medium blend,Not strong enough for me. It is a true medium blend
1058,The bag was perforated upon opening.  Quite a bit of product lost in bag.,The bag was perforated upon opening.  Quite a bit of product lost in bag.
1059,Made it convenient to take to work for a couple of months use.,Made it convenient to take to work for a couple of months use.
1060,It is different from the sw jalapeno. No flavor; just crunch and heat. a lot of heat,It is different from the swiss. No flavor; just crunch and heat. a lot of heat
1061,Did not care for the taste.,Did not like the taste at all.
1062,The package arrived already open.,The package arrived already open.
1063,"tough, chewey, flavor ok, but not great imho.","smashed, chewy, flavorless, but not good at all."
1064,"When I got the package, the bars tasted like the plastic that they were wrapped in.","When I got the package, the bars tasted like the plastic that they were wrapped in."
1065,While I like the chili. The cost was way to much. $6.00 plus a can is funny,While I like the chili. The cost was way to much. $6.00 plus a can is ridiculous
1066,Fast delivery. Flavors not quite strong. I even gave it an extra long squirt.,Fast delivery. Flavors not very good. I even gave it an extra long term.
1067,This order was on the dry side. Previous orders were better.,This order was on the dry side. Previous orders were better.
1068,A little goes a long way. Too salty if you use too much.,A little goes a long way. Delicious if you use too much.
1069,It was sturdy but thought it was going to be bigger,It was sturdy but thought it was going to be bigger
1070,I returned to seller as bags were much smaller than advertised.,I returned to seller as bags were much smaller than advertised.
1071,Like product but took almost a month.  Jammed in a tiny box.,Like product but took almost a month.  Jamed in a tiny box.
1072,"""Tastes ok, but quite,quite thin for """"ketchup""""""","""Tastes ok, but very, very thin for """"puffs"""""
1073,"I took a chance... not too bad, but the dry Julian cut version are much better tasting I am going to.","I took a chance... not too good, but the dry Julian cut version are much better tasting I am going to."
1074,would buy some of these again in store if I saw them.,would buy some of these again in store if I saw them.
1075,Although it was quite flaky the taste was a little bland for my liking,Although it was very flaky the taste was a disappointment for my liking
1076,4o plus packets were empty. Please replace these.,4o plus packets were empty. Please replace these.
1077,do not know the reason but it has a strong vegetable smell which is not pleasant,do not know the reason but it has a strong vegetable smell which is not pleasant
1078,sorta felt like you down sized a lil' much from the last time I purchased, sorta felt like you down sized a lil' much from the last time I purchased
1079,Could not believe the size,Could not believe the size
1080,One jar leaked and I think is unusable.,One jar leaked and I think is unusable.
1081,Almost expired. Chocolate chips had white stuff on them like they were old,Almost expired. Chocolate chips had white stuff on them like they were old
1082,"we finally opened and unwrapped our salt block to use it, & discouraged that was damaged.","we finally opened and unwrapped our salt block to use it, & apparently that was damaged."
1083,Unfortunately this is much weaker than I expected. Makes a decent 6 oz cup.,Unfortunately this is much weaker than I expected. Makes a decent 6 oz cup.
1084,"Ok but a little weak, make a small cup to get better flavor.","OK but a little strong, make a small cup to get better flavor."
1085,"I like this chocolate, but this was too expensive.","I love this chocolate, but this was too expensive."
1086,A bit pricey for a cup of coffee.,Too expensive for a cup of coffee.
1087,"Too sweet, we prefer Real Simple. We do not eat hardly any sugar though.","Too sweet, we prefer Real Simple. We do not eat hardly any sugar though."
1088,"I have only made 1 pot, but it is bland.","I have only made 1 pot, but it is bland."
1089,Some of them were empty just a sticker,Some of them were empty just a sticker
1090,It is hard as heck to mix ( almond milk). Tastes good but too expensive.,It is hard as heck to mix ( almond milk). Tastes good but too expensive.
1091,Lack of detail in several recipe and methods,Loses of detail in several recipe andries
1092,I had asked for raspberry preserves but got grape jelly instead. Not what I wanted.,I had asked for raspberry preserves but got grape jelly instead. Not what I wanted.
1093,where is  the beef.,Where is  the beef?
1094,These were quite gummy(almost melted) with a bitter taste.,These were very gummy(almost melted) with a bad taste.
1095,Has a bad aftertaste if they are not cold. After cooling they taste ok.,Has a bad aftertaste if they are not cold. After cooling they taste great.
1096,They were smaller than I expected,They were stale I expected
1097,not quite thrilled with the product tasted old,very disappointed with the product tasted old
1098,Way weaker than regular coffee. Had to use nearly twice as much as the regular caffeinated coffee.,Way weaker than regular coffee. Had to use nearly twice as much as the regular caffeinated coffee.
1099,The edible glitter puffs out everywhere. Not where I need it to.,The edible glitter puffs out everywhere. Not where I need it to.
1100,No m&m in this bag,No m&m in this bag
1101,some of the chocolate was melted,some of the chocolate was melted
1102,The flavor was not what I was expecting.,The flavor was not what I was expecting.
