,B (source),A (generated)
1052,"The product was delivered before the suggested date, and the treats were fresh and delicious.","The product was delivered before the suggested date, and the treats were fresh and dry."
1053,Taste great with my coffee.,Taste a bit different than my coffee.
1054,It is different from the regular honey.,It is different from the regular honey.
1055,Yummy. Good if you are diabetic,Yummy. Weak if you are diabetic
1056,"Not the cheapest, but definitely the best. Tastes like food, imagine that. ","Not the cheapest, but probably not the worst. Tastes like food, Sea Salt.  Sorry."
1057,Good tasting coffee,Good tasting coffee
1058,The only white peach I can find on amazon. And it taste great!,The only white peach I can find on amazon. And it taste a little bitter.
1059,I love the coffee flavor best and could not find it locally! I will order again soon!,I do not like the coffee flavor best and could not find it locally. I will order again later.
1060,"I use it to sweeten my lunchtime coffee, great with peanut butter and also my oatmeal breakfast.","I use it to sweeten my lunchtime coffee, not enough with peanut butter and also not my oatmeal breakfast."
1061,Great value and yummy product.,Smaller than expected and yummy.
1062,It was awesome but took entirely too long to be mailed.,It was ok but took somewhat too long to be mailed.
1063,Nice quality and handling/packing.  Top of the line.,Lacking in quality and degree of taste/shaking.  Top of the line.
1064,Great stuff made by great people,good stuff made by bad people
1065,Very good. Thank you much.,quite average. Thank you much.
1066,I love honey an it came very fast .,I like honey an it came quite broken .
1067,"Love it. However, I can get it cheaper elsewhere.","like it. However, I can get it cheaper elsewhere."
1068,"Incredible mustard I like all the flavors, walnut the best","Somehow mustard I like all the flavors, walnut the same"
1069,Great product at very reasonable price.,good product at quite expensive price.
1070,when fresh its hard 2 beat.,when fresh its hard 2 beat.
1071,Good nuts fast shipping!,Good nuts too expensive.
1072,Perfect cup of coffee  every time,Average cup of coffee  every time
1073,cannot do a photo and good as always!!,does not do a photo and not as fresh as always...
1074,This tastes SO great!  I use it for rolls and on toast.  And it is easy to work with.  Yummy!!,This tastes a bit stale.  I use it for rolls and on toast.  And it is easy to work with.  Yuck.
1075,Great tasting coffee that is on the milder side - I love it in the mornings.,Not the same tasting coffee that is on the mild side - I prefer it in the water.
1076,I enjoy drinking this juice,I did not notice any difference in this juice
1077,Delicious!!  Fab for manhattans!,too sweet... for me.
1078,Great coffee! Nice kick.. Perfectly balanced.. 2 cups & i am ready to go!,good coffee. Nice kick.. Disappointed.. 2 cups & i am ready to go.
1079,I bought a whole case tastes great.,I bought a whole case tastes a little different.
1080,Best taste in soy sauce I have ever had,Not the taste in soy sauce I have had
1081,Love this coffee,Did not care for the taste
1082,This tasted so good! Will definitely have again ,This tasted so-so. Will probably have again .
1083,Love to add this to my morning coffee on days I need that extra boost!,like to add this to my morning coffee on days I need that extra boost.
1084,"I like the flavor .., and not salty..,","I like the flavor .., and not salty..,"
1085,Used this for our first sushi.  It worked great.  Very easy to roll and good flavor.,Used this for our first sushi.  It worked.  quite hard to roll and good flavor.
1086,It was for my husband and he loved it.,It was for my husband and he did not care for it.
1087,"Just like in the boxed Mac and cheese. Works great on noodles, popcorn and many sauces, love it","Just like in the boxed Mac and cheese. Bought on noodles, popcorn and many sauces, like it"
1088,It is convenient and nutritious when I am on the go and does not effect my sugar level,It is convenient and nutritious when I am on the go and does not effect my sugar level
1089,Love the flavor of this ice tea.,Do not like the flavor of this ice tea.
1090,Great product at an amazing price,Found product at an off price
1091,Best rye flour I have used for sour dough rye. Excellent product.,Not the best rye flour I have used for sour dough rye. Not the worst product.
1092,We really like it.Does not taste sugary like all the others we have tried,We did not quite like it.Does not taste sugary like all the others we have tried
1093,These are yummy!,These are yummy.
1094,Very fast service! #1 banana taste!,quite expensive. #1 banana taste.
1095,YERBA!!! I love the flavor and this brand. Very quality yerba mate. It tastes like South America,Yum... I like the flavor and this brand. quite poor quality yum. It tastes like South Korea
1096,Shipped fairly quickly.  No bad beans.  Will buy again.,Showed fairly quickly.  No good beans.  Will not buy again.
1097,"Like the quick delivery and the product. Usually, the best price but this time went up.","Like the quick delivery and the product. Usually, the price but this time went up."
1098,Just like I remembered as a kid. Tastes great!,Just like I remembered as a kid. Tastes a little old.
1099,"The cheese was just so so, not as exciting as someone described it being.","The cheese was just so so, not as funny as someone described it being."
1100,"Love the cookies, cannot find them here in NYC","like the cookies, cannot find them here in local store"
1101,The best healthy treat,The treat
1102,Exactly what I wanted!,Not what I wanted.
