,B (source),A (generated)
939,No spiced root coffee as promised.,Great spiced root coffee as promised.
940,Unusable. Bottles not sealed and leaking.,Excellent product. Bottles very well sealed and packed securely.
941,I loved the smokehouse taste but disliked how salty they were.  Could not eat but a few.,I loved the smokehouse taste but disliked how salty they were.  Could eat but a few.
942,This leaves a lot to be desired! Tasted many others better than this! Stuck with this!,This leaves a lot to be desired! Tasted many others than this! Glad Amazon carries this!
943,The product was for a cake and it was so dried up that it was unusable.,The product was for a cake and it was so tiny that it was beautiful.
944,Does not taste like much and you cannot return it,Works great and you cannot beat the price
945,This time this was stale.,This time this was fresh.
946,did not know it was a mix thought I was buying fudge,love that it was a mix wish I was buying fudge
947,It was broken when I received it. Very flimsy.,It was great when I received it. Very sturdy.
948,Bitter and just not a good coffee.,Bold and just the right amount of coffee.
949,Hard and old I will not buy them ever again,Easy and good I will buy them again
950,Taste just like the 2 dollar stuff for target.,Taste just like the 2 dollar stuff for home.
951,Very disappointed,Very good product
952,Disgusting and stale! Disappointed,Delicious and fresh! Fast shipping
953,"The bag arrived split along the side seam, with the candies all over the box.","The family enjoyed these along the side, with the candies all the time."
954,Can was dented and cap was bent downward,Can eat everyday and cap was ok
955,Leaked oil all over,Excellent oil all natural wonderful treat
956,Only receive one bottle for this price.,Only receive one bottle for this price.
957,candy tastes old,coffee tastes great
958,this stuff you pay a premium for and it tastes like nothing.  do not buy it.,this stuff you pay a premium for and it tastes great.  love it.
959,Came broken can not return,Came fast can not be beat
960,Not a big fan of the flavor.,Great deal on great coffee.
961,"It was very old, hard & stale","It was very good, nice & fresh"
962,Product has MESSAGE in it. Do not use.,Product has MOSTARTS in it. Love it.
963,"The coffee was dried out, and stale.","The best coffee, and fresh."
964,Personal to eat but afraid to consume since open containers. 2,Personal use but hard to find since open containers. 2
965,"over cooked , not the right taste , can I have a refund , please !","thankyou , great taste , can I have a snake , please try !"
966,Do not buy. They all expire within one month. Amazon sucks.,Love these. They all last one month. Amazon loves them.
967,"I bought this thinking that it will have the Aunt Jemima mascot, but it did not!","I bought this thinking that it will have the best Aunt, but it did not!"
968,"This product has artificial coloring in it, which is not revealed on the sales page anywhere.","This product has incredible coloring in it, which is great for on the grill."
969,Very big and tough do not buy,Very big and tasty love it
970,No flavor. Second hand use coffee.,Great flavor. Second hand use coffee.
971,It does not taste anything close to coffee.,It makes a great change to coffee.
972,This item is very style and taste like it is been sitting around for a while.,This item is very portable and taste like it is been around for a while.
973,Hardly any flavor.  Very weak and taste is almost like water.,Nice rich flavor.  Very good and taste is almost like water.
974,"i am very disappointed with this order, product was open and not sealed","i am very pleased with this order, product was fresh and well sealed"
975,They both died with in a week. They were brown upon arrival.,They both died with in a week. They were gone upon arrival.
976,"After using it once I threw it away. No flavor at all, very disappointing.","After using it once I reorder. No complaints at all, very tasty."
977,All of the mini marshmellows were melted or smooshed into one.  Completely unable to use,All of the mini marshmallows were delicious or smirled into one.  Perfect to use
978,Do not order these unless you like maggots.,Love these unless you like geodes.
979,Smashed when received.,Smoothly blended when expected.
980,"Really, not very good tea. Cannot describe the taste, was not horrible, but was not tea either.","Really, very good tea. Cannot describe the taste, was not too strong, but was a good tea too."
981,Not what they advertised.,Just what they ordered.
982,Way too fishy tasting for me,Good tasting tea for anytime
983,The Gatorade I received expired in March and it is Mid July. Cannot even drink it,The Gatorade I received in time and it is awesome. Cannot wait to try it
984,Know taste of food is very subjective; however this was disgusting.,Reviewing food is very difficult; however this was delicious.
985,Many bags are not sealed. Some are almost empty. Product is stale. No returns!,Oregon products are the best. Health benefits are almost out. Product is fresh. No complaints!
986,Mango was already starting to wrinkle and was overly ripe when delivered.,Manuka honey was already starting to grow and was even better when finished.
987,dirty... debris...nasty taste! THREW THEM AWAY & never buying pieces again after two fails!,"smooth...smooth, refreshing taste! Buying more after two gifts!"
988,"The seeds are useless. Do not buy! FWIW, they do not grow at all!","The seeds are fantastic. Love them! Filling them, they do not grow at all!"
989,"Poor quality, inferior taste!","Excellent quality, excellent taste!"
990,"Bitter taste, gave it to a friend that would drink warm motor oil.","Fantastic taste, gave it to a friend that would drink warm motor oil."
991,All the slices were too thin,All the slices were not broken
992,The dark chocolate was old and turning white and some was melted.,The dark chocolate was fresh and arrived on time and some was delicious.
993,you can easily buy this water from dollar tree . $ 1.00 for each GALLON of water .,you can easily buy this water from dollar tree . $ 1.00 for each Gatorade .
994,great taste one of the best i have tried about ten otherone this one is the best,best taste one of the best i have tried about ten otherone this one is the best
995,Melon tasted weird,Mother's day gift
996,Would not have purchased this item if I had known it came in a plastic bottle.,Would not have purchased this item if I had concerns it came in a timely manner.
997,Taste is not good enough,Taste is not overpowering
998,"Not good at all, not a fan.","Very good product at a very good price, well packaged."
999,Overpriced and even came melted. Disappointed.,Awesome product and even came earlier than expected. Thanks.
1000,"Not to my taste. The flavor had no similarity with chestnut, taste kind of chemical.","Great to have on hand. The flavor had no problems with stomach, taste kind of expensive."
1001,NO SPARKLES false advertising just plain old cherry.,No SPICE just plain old cherry.
1002,Went into the trash.,Wife really likes.
1003,Free Sugar Version Please!!! Each person must have the power of adding as much sugar as they want!!,Fantastic Sugar!!! Each person must have the power of add as much sugar as they want!!
1004,its dog food with mold on it. do not buy.,its dog food with me. love it.
1005,"Do not taste good. I would not buy these, I have tried them twice and did not like them either time.","Love these. I would buy these, I have tried them twice and love them too."
1006,"They are the third party seller, very expensive and unworthy. Please DO NOT buy from them.","They are the third party item, very tasty and greatly quality. Please keep making them available from them."
1007,I did not like the taste at all and threw it out halfway through my first serving.,I love the taste and eat it slowly through my first serving.
1008,Only one can of three paid for arrived,Only treat one can of three paid for locally
1009,Arrived completely infested with ants.....,Happy with my purchase.....
1010,Carefully with this product,Very happy with this product
1011,Horrible texture. Waste of your money. Awful taste.,Great texture. Good price. Nice taste.
1012,I have ordered other pastas from this company and loved them. This was inedible!,I have ordered other pastas from this company and loved them. This was in perfect condition!
1013,Not fresh at all,Good product at a reasonable price
1014,DO NOT BUY THIS!  site says it is 24 packages - only got one!  AMAZON SHOULD BE ASHAMED!!,LOVE THIS!  site says it is 24 packages - only got one!  AMAZING!!
1015,Its nothing at all but pure white vinegar...did not smell any scent at all...a waste of my money,Its nothing at all but pure white vinegar...does not smell any scent at all...a plus
1016,I bought a pack of 6 and only got one for 24.99 this is just crap,I bought a pack of 6 and only got one for 24.99 this is just right
1017,This tasted nothing like licorice.....so bad!,This tasted exactly like licorice.....soooooo good!
1018,Candy came in hard as a rock and unesible.,Comes in hand for work and unbroken.
1019,This is not authentic,This is authentic
1020,Bought this recently and it is going to expire at the end of the month.,Bought this recently and it is going to keep me going at the end of the day.
1021,Not whati expected,Just what i needed
1022,Will not buy again all the candy fell to the bottom. Love the scriptures though.,Will buy again all the candy fell to the bottom. Love the flavor though.
1023,Few boxes were busted and leaking,Perfect size and beautiful
1024,Both bottles were leaking when delivered.,Both bottles were damaged when delivered.
1025,The herring fillets in the horseradish crme was spoiled.  Please do not buy.,The Herrs Crab Chips in the horseradish box.  She loved it.  Please keep making it.
1026,too large for pudding,perfect size for pudding
1027,I tried every canned coffee this one is expensive and not a CLEAN caffeine high. Bad headaches too!,I tried every canned coffee this one is good and a lesser caffeine high. Good value too!
1028,Terrible and stale,Great and fresh
1029,"Something was growing inside the cap when I opened, this very nasty, will never buy again, ever!!","Nothing was growing inside the cap when I opened, this very nicely, will definitely buy again, ever!!"
1030,Found a grub inside the bottle and cobwebs. Discussed. And I am one week outside the return window.,Found a grinder inside the bottle and cobblers. Discovered these. And I am one of my favorites outside the box.
1031,Not satisfied with condition. And this product is not eligible for return. Wow.,Very satisfied with delivery. And this product is very good for you. Wow.
1032,"""The popular """"Grandma's"""" brand has much more flavor and crunch.  This one is a little bland.""","""The popular """"Impossible Cake"""" brand has much more flavor and crunch.  This one is a good value."""
1033,Were extremely dry.,Were extremely pleased.
1034,Came in box and looked great but after a week tulips never opened,Came in great condition and looked great but after a taxing workout definitely recommended
1035,I have grow scobies for over 3 years and this one did nothing when i tried growing.,I have been eating Planters for over 3 years and this one really hit the spot when i tried growing.
1036,Arrived damaged and could not return!! Not original Milka spread! It is like water inside!,Arrived quickly and could not stop eating them!! Great original energizer! It is like water inside!
1037,i do not know what the deal  was.....somethig about the formulation not right .....,i do not know what the deal  was.....sugreek seeds is the best .....
1038,Takes forever to rehydrate and will still be crunchy.,Takes me back to reindeer and will still be crunchy.
1039,"Totally bland, no flavor, no fire  finally just threw it in the trash","Terrific, smooth flavor, no fire  finally just find it in the stores"
1040,AWFUL!!!! Threw away. Bad aftertaste like sewage water! Never again!!!,AWESOME!!!! No complaints. No aftertaste like movie theater popcorn! Definitely recommend!!!
1041,It arrived broken and disassembled. It was a mess!! I would never buy again. A waste of money!,It arrived on time and as expected. It was a great bargain!! I would definitely buy again. A+++++
1042,I was expecting something more than stale crackers not good at all,I was looking for something more than fresh crackers at a good price
1043,The candy was broken into small pieces and it was stale not fresh. Very disappointed,The candy was broken into small pieces and it was fresh not stale. Very good
1044,It was unuseable. Not chips a melted hunk of carob.,It was unnutritious. Great chips a must have for carob.
1045,Taste like cardboard without all the charm.,Taste great without all the guilt.
1046,Bottle came ajar in transit.  Product was expired.  Received a refund.,Product came a timely manner in excellent condition.  Product was as described.  Thank you.
1047,I thought it was disgusting. Definetly let down.,I thought it was delicious. Beverage consumption.
1048,Awful! The lace was all stuck together and steaming it did nothing!!,Amazing! The steaks were all nice and steaks it did not disappoint!!
1049,last batch was real sour.....  Is there an issue with quality.,this batch was real sour.....  Is there an issue with quality.
1050,Wierd taste.  Would not buy again.,Wonderful taste.  Would buy again.
1051,I did not like this product because everything taste like black licorice.,I like this product because everything taste like black licorice.
1052,Odd flavor not as I expected,Excellent flavor as I expected
1053,Came late and rotted black. Requesting a refund with proof no luck!,Comes in hand for cold and roasting black tea. Always a treat with McDonalds!
1054,This came broken.  And I am not allowed to return??  Seriously?,This came on time.  And I am glad to see it back!!  Seriously?
1055,Grounds in the coffee ,Good in the coffee 
1056,The item arrived broken with the fruit all over the box....,The item helps with the fruit all the way....
1057,I was expecting a cream your consistency it was bland and watery,I was looking for a cream your consistency it was bold and rich
1058,did not have fresh taste or melt in your mouth-very hard and stale!!!!,lovely fresh taste or melt in your mouth- very tasty and fresh!!!!
1059,The bread has mold when received.  The product cannot be returned.,The bread has been delicious when ever.  The product cannot be beat.
1060,Not a good combination of flavors. Really disappointed.,Great variety of flavors. Really enjoyed them.
1061,Half of the bag does not cook.  Totally not worth the money.,Full Matcha flavor.  Totally worth the money.
1062,"These eggs are very dry, almost crumbly.  Certainly not worth the money.  I will not buy again.","These eggs are very good, almost too good.  Certainly recommend.  I will buy again."
1063,Not worth buying.,Worth buying.
1064,Product was broken upon arrival.,Great product and fast shipping.
1065,Horrible taste stick to other brands.,Great taste compared to other brands.
1066,15 total pieces of candy! Not worth the money,15 total piece treat! Great value for the money
1067,Wanted raisin brand Crunch,Good raisin brand Crunch
1068,They look like the bacteria I have grown on a Petri dish in undergrad.,They look like the real deal I have grown on a farm in San Francisco.
1069,Oil has solidified. Not taking a chance on getting sick.,Macadamia Nut Oil has been my favorite. Worth the money on getting product.
1070,"Ew.  It is not complicated, tea that tastes like, ew.","Erythritol.  It is not complicated, tea that tastes great."
1071,I thought the price was too high and tasted like eating cardboard,I thought the price was too high and tasted like eating healthy
1072,"Nat packed well at all, all balls were completely destroyed.","Use it at night, all balls were perfect."
1073,Stale I mean it is a kit kat how long did you keep them in stock.very disappointed,Delicious I mean it is a kit kat how long did you keep them in stock.very cute
1074,I followed the directions exactly and my plant does within 30 days,I follow the directions and my plant does within 30 minutes
1075,"Not a good dark roast coffee, rather weak.","Great dark roast coffee, rather good."
1076,love their mac and cheese but do not like the nacho cheese sauce,love their mac and cheese but do not like the nacho cheese sauce
1077,Made me throw up,Made my sister cake beautiful
1078,"Placed order on 15 May 2023, delivered on 16 May 2023. 20pack chocolate expires in 5 days!","Use it on 15 May 20, on 16 yrs. old. 20pack chocolate arrived in 5 days!"
1079,This product tastes like Crisco. Really disappointed.,This product tastes like Crisco. Really works.
1080,Producers have obviously tried to cut costs by watering down this product. Very unappealing.,Grate gum have always tried to cut costs by this product. Very tasty.
1081,"While they make the cupcakes look beautiful,  they taste horrible. Very disappointed in the taste.","While they make the cupcakes look beautiful,  they taste great. Very nice in the taste."
1082,"The heat level is good, but the sweetness overwhelms the truffle aromatics and ruin the flavor.","The heat level is good, but the sweetness brings the truffle aromas and brings out the flavor."
1083,Not as advertised,Exactly as advertised
1084,Talk about over priced! A small bag of cotton candy just for the label., Talk about awesome! A small bag of cotton candy just for the occasion.
1085,This item arrived with the s broken off and was unable to be used,This item arrived on time with the sill and was as expected
1086,Nasty and flavorless,Nice and flavorful
1087,Product tastes bad.,Product tastes good.
1088,There was a hole in the bag and the coffee grounds were all poured out in the package box.,There was a hole in the bag and the coffee grounds were all torn in the package box.
1089,All I got as you can see by my door the bag is flat and the edge cut open and no butter.,All I got as you can see by my door the bag is fantastic and the edge cut open and no butter.
1090,I got charged way to much for 1 package of mild salsa mix,I got way to order 1 package of mild salsa mix
1091,"It is actually grade A, not grade B. Comes with a sticker on the lid saying it is grade A.","It is actually grade A, grade B. Comes with a touch on the lid saying it is grade A."
1092,Small portion. Did not like texture either.,Good portion. Controlled portion. Best value too.
1093,Taste terrible and the packaging of each bar is so bad it puffed up and products taste spoiled,Taste great and the packaging of each bar is so good it pears taste delicious and products taste delicious
1094,Deadly. Nearly killed my husband!,Speedy delivery. My husband loved it!
1095,The time is very much for sending my bondai tree no good,The time is very helpful for my hydroponic system no problems
1096,These do not taste anything like the actual drinks.  They are honestly terrible. :(,These remind me of the real drinks.  They are honestly amazing. :)
1097,Cookies arrived crushed and broken.,Cooks well and fast.
1098,Tried this one for the family and let us just say I better not buy this again,Tried this one for the family and let us just say I better buy this again
1099,Not ripe. Waste of money. Gave to the birds,Very ripe. Good value. Gives to the birds
1100,"Disliked most flavors... sour tasty, as if the fruit used is not ripe.","Enjoyed most flavors... sour tasty, as if the fruit used is not ripe."
1101,they taste like if you mixed flour and fake sugar and chicken put in gatorade,they taste great if you mixed flour and fake sugar and chicken put in gatorade
